name,merchant_abn,Description,Earnings_Class,BNPL_Fee
Felis Limited,10023283211,furniture home furnishing equipment shop manufacturer except appliance,e,0.18
Arcu Ac Orci Corporation,10142254217,cable satellite pay television radio service,b,4.22
Nunc Sed Company,10165489824,jewelry watch clock silverware shop,b,4.4
Ultricies Dignissim Lacus Foundation,10187291046,watch clock jewelry repair shop,b,3.29
Enim Condimentum PC,10192359162,music shop musical instrument piano sheet music,a,6.33
Fusce Company,10206519221,gift card novelty souvenir shop,a,6.34
Aliquam Enim Incorporated,10255988167,computer computer peripheral equipment software,b,4.32
Ipsum Primis Ltd,10264435225,watch clock jewelry repair shop,c,2.39
Pede Ultrices Industries,10279061213,computer programming data processing integrated system design service,a,5.71
Nunc Inc.,10323485998,furniture home furnishing equipment shop manufacturer except appliance,a,6.61
Facilisis Facilisis Corp.,10342410215,computer computer peripheral equipment software,a,6.34
Odio Institute,10346855916,equipment tool furniture appliance rent al leasing,b,3.57
Rutrum Justo Ltd,10364012396,music shop musical instrument piano sheet music,b,3.63
Tellus Foundation,10385011947,artist supply craft shop,b,3.17
Sed Et Company,10385163239,florist supply nursery stock flower,a,6.61
Id Ltd,10385250025,computer computer peripheral equipment software,a,5.54
Consequat Foundation,10404542215,antique shop sale repair restoration service,a,6.93
Sit Amet Nulla Corp.,10430380319,motor vehicle supply new part,b,4.97
Massa Vestibulum Foundation,10441711491,motor vehicle supply new part,a,5.77
Ut Consulting,10462560289,gift card novelty souvenir shop,c,2.95
Id Mollis Corporation,10463252268,artist supply craft shop,a,6.61
Laoreet Lectus Associates,10487253336,artist supply craft shop,b,3.92
Ut Semper Industries,10530696903,book periodical newspaper,a,6.46
Lacus Vestibulum Inc.,10545955006,florist supply nursery stock flower,a,6.16
Commodo Hendrerit Donec Corporation,10553813474,artist supply craft shop,b,4.31
Egestas A Associates,10596295795,jewelry watch clock silverware shop,a,6.84
Enim Consequat Institute,10618089367,stationery office supply printing writing paper,b,4.01
Proin Nisl Institute,10648956813,computer computer peripheral equipment software,a,6.66
Sed Et Libero PC,10651113986,tent awning shop,b,3.25
Fermentum Risus Foundation,10702078694,gift card novelty souvenir shop,a,5.95
Sollicitudin Commodo Ipsum Industries,10714068705,furniture home furnishing equipment shop manufacturer except appliance,c,2.51
Libero Proin Mi Incorporated,10739268011,art dealer gallery,a,6.25
Risus Associates,10746056613,music shop musical instrument piano sheet music,a,6.76
Ut Dolor Dapibus LLP,10848766800,bicycle shop sale service,c,2.08
Dui Cras Pellentesque Limited,10854978569,computer computer peripheral equipment software,b,4.23
Vitae Aliquet Nec Associates,10860706939,furniture home furnishing equipment shop manufacturer except appliance,c,2.99
Sed Facilisis Vitae Incorporated,10881038707,jewelry watch clock silverware shop,a,6.24
Per Inceptos Company,10901349044,gift card novelty souvenir shop,a,5.96
Justo Associates,10922217544,watch clock jewelry repair shop,c,1.68
Metus Vitae Velit LLP,10930486968,gift card novelty souvenir shop,a,5.73
Nam Associates,10945019164,digital good book movie music,a,5.99
Arcu Iaculis Corporation,10955677986,shoe shop,a,5.64
Ante Maecenas Ltd,10959028715,furniture home furnishing equipment shop manufacturer except appliance,b,4.28
Non Feugiat Incorporated,10995883576,gift card novelty souvenir shop,a,6.22
Sodales Mauris Consulting,11017796471,optician optical good eyeglass,b,4.0
Aliquet Metus Urna LLP,11024352823,antique shop sale repair restoration service,c,2.62
Amet Diam Industries,11076688542,stationery office supply printing writing paper,c,2.52
Rutrum Corp.,11089768124,computer programming data processing integrated system design service,c,2.78
Ac Mi Corp.,11093673306,watch clock jewelry repair shop,a,6.74
Egestas Nunc Associates,11121775571,digital good book movie music,a,6.58
Quis Massa Mauris Ltd,11134994590,jewelry watch clock silverware shop,c,2.41
Et Arcu Limited,11149063370,art dealer gallery,b,4.84
Feugiat Tellus LLP,11173270682,computer programming data processing integrated system design service,d,1.26
Orci Luctus PC,11199348915,health beauty spa,b,4.1
Cursus Et Eros LLP,11208869091,hobby toy game shop,a,6.48
Scelerisque Scelerisque Ltd,11215815177,tent awning shop,b,4.77
Magna Institute,11237511112,optician optical good eyeglass,c,2.11
Ornare Placerat Foundation,11243046390,book periodical newspaper,c,1.94
Tincidunt Pede Company,11285988014,digital good book movie music,a,6.3
Nostra Per Inceptos Ltd,11304124014,shoe shop,a,5.54
Interdum Inc.,11355018654,shoe shop,a,6.24
Ipsum Sodales Industries,11411018019,hobby toy game shop,c,2.17
Aptent Taciti Consulting,11422053652,shoe shop,b,4.74
Praesent Luctus Inc.,11422618712,computer computer peripheral equipment software,c,1.45
Nam Foundation,11437621158,motor vehicle supply new part,b,4.53
Blandit At LLC,11439466003,shoe shop,a,5.71
Sed Neque Sed Inc.,11452293720,cable satellite pay television radio service,a,5.78
Sed Associates,11470993597,watch clock jewelry repair shop,d,1.35
Proin Vel Incorporated,11563852275,florist supply nursery stock flower,c,2.99
Euismod Et Institute,11566786699,optician optical good eyeglass,c,2.62
Dolor Industries,11588046517,health beauty spa,b,3.94
Arcu Sed PC,11590404675,antique shop sale repair restoration service,b,4.19
Cum Sociis Incorporated,11633090957,lawn garden supply outlet including nursery,b,4.0
Vitae Aliquam Incorporated,11700214701,tent awning shop,a,6.2
Ante Maecenas Mi Incorporated,11766327188,gift card novelty souvenir shop,c,2.57
Id Magna LLP,11788487195,music shop musical instrument piano sheet music,b,3.51
Nulla Magna Incorporated,11791943985,watch clock jewelry repair shop,b,5.01
Morbi Vehicula Inc.,11800043583,jewelry watch clock silverware shop,c,2.89
At Egestas A Corp.,11802512399,bicycle shop sale service,a,5.82
Eu Tellus Industries,11841065357,motor vehicle supply new part,b,4.42
Aenean Eget Corporation,11848576000,hobby toy game shop,c,1.57
Gravida Inc.,11895748930,lawn garden supply outlet including nursery,b,3.27
Tincidunt Dui Corp.,11944993446,gift card novelty souvenir shop,a,6.6
Dui Cras Pellentesque Company,11961681734,health beauty spa,a,6.46
Dui Fusce Corp.,11974270529,furniture home furnishing equipment shop manufacturer except appliance,b,3.9
